,Name,Address,City,State,ZIP,County,Phone Number,Program Type,Hours of Operation,Full address,Latitude,Longitude,Latitude2,Longitude2
18,Allied Churches of Alamance County,206 N Fisher Street,Burlington,NC,27217,Alamance,336.229.0881,SOUP KITCHEN,M - Sa: 11:30a - 1p (Lunch); M - Sa: 6:30p - 7:30p (Dinner),"206 N Fisher Street, Burlington, NC, 27217",36.0991334,-79.436838,36.0995233,-79.437028
19,"Stne Soup Menus, INC",1307 E. Main St.,Graham,NC,27253,Alamance,704-719-6363,SOUP KITCHEN,Delivery (M-F),"1307 E. Main St., Graham, NC, 27253",35.3225096,-83.8047674,36.024276,-79.3573581
20,Mt Pisgah - Good Samaritan Food Pantry,9379 NC Hwy 127,Hickory,NC,28601,Alexander,828.455.8277 (JS cell),PANTRY,M: 3p - 5p; F: 1p - 3p,"9379 NC Hwy 127, Hickory, NC, 28601",35.817449,-81.30624,35.8179708,-81.306313
21,Stony Point Christian Ministries,411 Ruritan Park Rd,Stony Point,NC,28678,Alexander,336.354.2591 VS Cell,PANTRY,M:10a-1p,"411 Ruritan Park Rd, Stony Point, NC, 28678",35.8620991,-81.0459296,35.8622033,-81.0459017
22,Christian Crisis Center,215 5th Ave SW,Taylorsville,NC,28681,Alexander,828.632.0022,PANTRY,M - F: 9a - 1p,"215 5th Ave SW, Taylorsville, NC, 28681",35.9153679,-81.1824361,35.9147461,-81.1818336
23,Hiddenite Community Helpers,45 Fire Dept CT.,Hiddenite,NC,28636,Alexander,828.320.5269,PANTRY,Tu & Th: 4p - 6p,"45 Fire Dept CT., Hiddenite, NC, 28636",35.9021132,-81.0911995,35.902077,-81.0910951
24,Solid Rock Food Closet,71 Womble St,Sparta,NC,28675,Alleghany,336.372.6560,PANTRY,T - Th: 10:00a - 2:00p; 4p-6p (1st Thursday),"71 Womble St, Sparta, NC, 28675",36.5039328,-81.123435,36.50436,-81.12406
25,Ashe Really Cares,204 Beaver Creek School Road,West Jefferson,NC,28694,Ashe,336.846.5631,PANTRY,M - F: 9:30a - 3p,"204 Beaver Creek School Road, West Jefferson, NC, 28694",36.3784013,-81.4901956,36.3783537,-81.4908401
26,Ashe Food Pantry,115 Colvard St,Jefferson,NC,28640,Ashe,828.264.8747 MS cell,PANTRY,"M, Tu, Th & F: 10a - 2p","115 Colvard St, Jefferson, NC, 28640",36.418864,-81.478223,36.4195767,-81.4778706
27,Ashe Outreach Ministries,11719 Highway 88 West,Creston,NC,28615,Ashe,336.385.1314,PANTRY,Tu - Th: 9a - 2p,"11719 Highway 88 West, Creston, NC, 28615",36.451823,-81.603241,36.451619,-81.602423
28,Jefferson United Methodist Church,115 E Main St,Jefferson,NC,28640,Ashe,336.877.0207 AC cell,PANTRY,Tu: 9a - 2p,"115 E Main St, Jefferson, NC, 28640",36.4206597,-81.4735692,36.4210994,-81.4732543
29,Ashe Outreach Ministries-Riverview,11719 Highway 88 West,Creston,NC,28615,Ashe,336.385.1314,SOUP KITCHEN,Tu - Th: 11a - 12:30p,"11719 Highway 88 West, Creston, NC, 28615",36.451823,-81.603241,36.451619,-81.602423
30,The Salvation Army - Lenoir,4370 Hickory Blvd,Granite Falls,NC,28630,Caldwell,828.322.8061,PANTRY,M - Sat. 10a - 5p,"4370 Hickory Blvd, Granite Falls, NC, 28630",35.7935163,-81.4152596,35.7935378,-81.4151492
31,South Caldwell Christian Ministry,5 Quarry Rd,Granite Falls,NC,28630,Caldwell,828.396.4000,PANTRY,Tu & Th: 9a - 5p; W: 9a - 2p,"5 Quarry Rd, Granite Falls, NC, 28630",35.8014914,-81.4213135,35.802134,-81.420719
32,First Baptist Church Whitnel,1201 Connelly Springs Rd SW,Lenoir,NC,28645,Caldwell,828.493.1417 KC cell,PANTRY,"Th: 9a - 11pa(2nd and 4th Thursday of Jan., Mar., May, July, Sept., Nov. and Dec.); Sa: 9a - 12p (3rd Saturday of Jan., Mar., May, July, Sept., Nov. and Dec.)","1201 Connelly Springs Rd SW, Lenoir, NC, 28645",35.876896,-81.535811,35.8768777,-81.5355168
33,Mountain View Baptist Food Pantry,2820 Lum Davis Lane,Lenoir,NC,28645,Caldwell,828.320.9345,PANTRY,Sa: 9a - 12p (3rd Saturday of each month),"2820 Lum Davis Lane, Lenoir, NC, 28645",35.9528212,-81.5890075,35.9528193,-81.5889878
34,Pay It Forward Food Pantry,2058 Harper Avenue NW,Lenoir,NC,28645,Caldwell,828.572.4441,PANTRY,Th: 9a - 12p (2nd and 4th Thursday of each month); Sa: 9a - 12p (3rd Saturday of each month),"2058 Harper Avenue NW, Lenoir, NC, 28645",35.9007002,-81.5637527,35.9006008,-81.564765
35,Mtn Grove--Bags of Blessings,1808 Union Grove Rd.,Lenoir,NC,28645,Caldwell,828.728.2221 LP work,PANTRY,Tu: 5p - 7p (2nd and 4th Tuesday of each month),"1808 Union Grove Rd., Lenoir, NC, 28645",35.827388,-81.558002,35.8275414,-81.5585328
36,Dulatown Outreach - Kwanzaa Family Inn,1631 Old North Rd,Lenoir,NC,28645,Caldwell,828.758.2482,SHELTER,Please call for availability,"1631 Old North Rd, Lenoir, NC, 28645",35.9370328,-81.5631152,35.9366421,-81.5643986
37,Shelter Home of Caldwell County,515 Scroggs St NW,Lenoir,NC,28645,Caldwell,828.758.0888,SHELTER,Please call for availability,"515 Scroggs St NW, Lenoir, NC, 28645",35.9180339,-81.5413137,35.9174517,-81.5427158
38,Lenoir Soup Kitchen,1113 College Avenue SW,Lenoir,NC,28645,Caldwell,828.758.1411,SOUP KITCHEN,M - F: 11a - 12p (Lunch); Su: 4p - 4:45p (Dinner),"1113 College Avenue SW, Lenoir, NC, 28645",35.9112233,-81.5425417,35.9105776,-81.5432086
39,"Caswell County Parish, Inc",1038 Main Street,Yanceyville,NC,27379,Caswell,336.694.6428,PANTRY,Tu & Th: 9:30a - 4:45p,"1038 Main Street, Yanceyville, NC, 27379",36.4125609,-79.347944,36.4128069,-79.3478098
40,Shady Grove United Methodist Church,1705 Shady Grove Rd,Providence,NC,27315,Caswell,336.388.2750,PANTRY,M: 4p-6p (2nd Monday of each month),"1705 Shady Grove Rd, Providence, NC, 27315",36.515808,-79.417917,36.5155849,-79.4174193
41,Locust Hill UMC,281 Stoney Creek School Road,Reidsville,NC,27320,Caswell,336.388.2489,PANTRY,Th: 6p - 7p (3rd Thursday of each month),"281 Stoney Creek School Road, Reidsville, NC, 27320",36.356097,-79.438723,36.360583,-79.441481
42,County Outreach Ministry,225 Third Street,Yanceyville,NC,27379,Caswell,336-694-4224,PANTRY,Th: 11a - 1p; Th: 2p - 4p (2nd Thursday of each month),"225 Third Street, Yanceyville, NC, 27379",36.406931,-79.339685,36.4054625,-79.3402342
43,First Assembly of God,382 Walser Road,Lexington,NC,27295,Davidson,336) 247-1864,PANTRY,Sa.: 9:30a - 11:30a (3rd Saturday of each month),"382 Walser Road, Lexington, NC, 27295",35.8514095,-80.2592763,35.8518759,-80.2600317
44,The Salvation Army-Davidson,314 W 9th Ave,Lexington,NC,27292,Davidson,336.481.7324 ext.2,PANTRY,M - F: 8a - 4p,"314 W 9th Ave, Lexington, NC, 27292",35.8191998,-80.2659035,35.8197265,-80.2663889
45,North Lexington Baptist Church,201 Mize Rd,Lexington,NC,27295,Davidson,336.470.1102,PANTRY,Tu: 3p - 5:30p; F: 9-10a,"201 Mize Rd, Lexington, NC, 27295",35.848758,-80.263865,35.8483162,-80.2647591
46,Thomasville Community Ministry,10 W Guilford St,Thomasville,NC,27360,Davidson,336.476.1842,PANTRY,"M, Tu & Th: 9a - 4p; F: 9a - 12p","10 W Guilford St, Thomasville, NC, 27360",35.884831,-80.0830544,35.8847228,-80.0838296
47,Davidson Community Action,911 S Talbert Blvd,Lexington,NC,27292,Davidson,336.249.0234,PANTRY,Th:9a - 12p; Th: 2p - 4p,"911 S Talbert Blvd, Lexington, NC, 27292",35.812626,-80.2617808,35.8138832,-80.259618
48,South Davidson Family Resource Center,338 W Salisbury St,Denton,NC,27239,Davidson,336.859.5399,PANTRY,M - W: 8:30a - 12p,"338 W Salisbury St, Denton, NC, 27239",35.6334817,-80.1204231,35.6334674,-80.1193326
49,Abbotts Creek - Labor of Love,2817 Abbotts Creek Church Rd,High Point,NC,27265,Davidson,336.869.8410,PANTRY,M: 6:30p - 7:30p (1st and 3rd Monday of each month),"2817 Abbotts Creek Church Rd, High Point, NC, 27265",36.004732,-80.084817,36.0044213,-80.0855753
50,New Temple House of Provisions,403 National Highway,Thomasville,NC,27360,Davidson,336.870.9711,PANTRY,M: 10a - 12p,"403 National Highway, Thomasville, NC, 27360",35.8934249,-80.0713704,35.892854,-80.0714464
51,Pastors Pantry,307 N State St,Lexington,NC,27292,Davidson,336.249.8824,PANTRY,M - Th: 11a - 3p,"307 N State St, Lexington, NC, 27292",35.8268777,-80.2521291,35.8271869,-80.2516913
52,First Pentecostal-Servant's Table,509 Cloniger Road,Thomasville,NC,27360,Davidson,336.425.3062,PANTRY,Sa: 9a - 11a (1st Saturday of each month),"509 Cloniger Road, Thomasville, NC, 27360",35.86708,-80.053955,35.8676439,-80.0540937
53,Fairgrove Family Resource,159 Myrtle Drive,Thomasville,NC,27360,Davidson,336.472.7217,PANTRY,M - Th: 9a - 1p,"159 Myrtle Drive, Thomasville, NC, 27360",35.8368655,-80.1067614,35.8368633,-80.1067828
54,Services for the Deaf,8 Franklin St,Lexington,NC,27292,Davidson,336.899.7059,PANTRY,W: 8a - 12p (3rd Wednesday of each month),"8 Franklin St, Lexington, NC, 27292",35.8308469,-80.2443529,35.8306386,-80.2438284
55,"Upper Room Food Ministry, Inc.",11185 NC Highway 8,Lexington,NC,27292,Davidson,954.464.5005,PANTRY,M & W: 8:30a - 12p,"11185 NC Highway 8, Lexington, NC, 27292",35.682371,-80.268414,35.6567556,-80.2615125
56,JCF Ministries Full Gospel Church,1700 S Main Street,Lexington,NC,27292,Davidson,336.250.8885,PANTRY,Sa: 7a - 10a (1st and 3rd Saturday of each month),"1700 S Main Street, Lexington, NC, 27292",35.8073092,-80.2738525,35.8081143,-80.2740547
57,Least of These Ministries,4600 W Old Highway 64,Lexington,NC,27295,Davidson,336.425.1166,PANTRY,Tu & Th: 3:30p - 5:30p,"4600 W Old Highway 64, Lexington, NC, 27295",35.8265161,-80.2763296,35.8450944,-80.3324297
58,Greater Things Outreach,6282 Old US Hwy 52,Lexington,NC,27374,Davidson,954.205.5477,PANTRY,Tu & Th: 6p - 7:30p; W: 10a - 11:45a,"6282 Old US Hwy 52, Lexington, NC, 27374",35.736354,-79.882091,35.9107898,-80.254043
59,Loaves and Fishes Food Ministry,902 South Main St.,Lexington,NC,27292,Davidson,336.247.1692,PANTRY,Sa: 9:30a - 12p,"902 South Main St., Lexington, NC, 27292",35.8164803,-80.2624134,35.8163122,-80.2624925
60,The Father's Storehouse,609 National Hwy,Thomasville,NC,27360,Davidson,336) 870-8179,PANTRY,M: 10a-12p,"609 National Hwy, Thomasville, NC, 27360",35.8968048,-80.0691814,35.8968783,-80.069243
61,The Father's Storehouse,609 National Hwy,Thomasville,NC,27360,Davidson,336) 870-8179,SOUP KITCHEN,M: 8:30-11a (Breakfast/Lunch),"609 National Hwy, Thomasville, NC, 27360",35.8968048,-80.0691814,35.8968783,-80.069243
62,The Salvation Army-Davidson,314 W 9th Ave,Lexington,NC,27292,Davidson,336.481.7324 ext.2,SOUP KITCHEN,Tu & Th: 8:30a - 9:30a (Breakfast); M - F: 11:30a - 12:30p (Lunch),"314 W 9th Ave, Lexington, NC, 27292",35.8191998,-80.2659035,35.8197265,-80.2663889
63,Grace Episcopal Church,419 S. Main St.,Lexington,NC,27292,Davidson,336.596.0067,SOUP KITCHEN,Sun. 12:30 p - 1:30p,"419 S. Main St., Lexington, NC, 27292",35.8200725,-80.257121,35.8202249,-80.2568959
64,"He Cares, Inc.",12 W Guildford St.,Thomasville,NC,27360,Davidson,(336) 944-8761,SOUP KITCHEN,Sa: 8:00a - 9:00a (Breakfast),"12 W Guildford St., Thomasville, NC, 27360",35.874289,-80.020322,35.884639,-80.084058
65,A Storehouse for Jesus,675 E Lexington Rd,Mocksville,NC,27028,Davie,336.753.8081,PANTRY,"M, W & Th: 9a - 12p; Tu: 1p - 3p","675 E Lexington Rd, Mocksville, NC, 27028",35.8912664,-80.5590909,35.8907535,-80.5562599
66,Ascension Food Pantry,183 Fork-Bixby Rd,Advance,NC,27006,Davie,336.940.8986,PANTRY,Tu: 2:30p - 4:30p (1st & 3rd Tuesday of each month); Sa: 2:30p - 4:30p (1st and 3rd Saturday of each month); Sa: 1p - 2p (2nd and 4th Saturday of each month),"183 Fork-Bixby Rd, Advance, NC, 27006",35.882537,-80.444222,35.8824697,-80.4446255
67,First Baptist Church - Cooleemee,204 Marginal Street,Cooleemee,NC,27014,Davie,336.284.2626,PANTRY,Sa: 10a - 11:30a (2nd Saturday of each month); Sa: 3p - 4:30p (4th Saturday of each month),"204 Marginal Street, Cooleemee, NC, 27014",35.815643,-80.5552094,35.8157148,-80.5551731
68,Army of Hope,2121 Cornatzer Rd,Advance,NC,27006,Davie,336.648.0404,PANTRY,Sa: 12 - 3p (1st & 3rd Saturday of each month),"2121 Cornatzer Rd, Advance, NC, 27006",35.946765,-80.424458,35.9396235,-80.4575593
69,Winston-Salem Rescue Mission,710 Trade St.,Winston-Salem,NC,27101,Forsyth,336.723.1848,PANTRY,T: 9:00-11:00; F 1:00-2:30,"710 Trade St., Winston-Salem, NC, 27101",36.103159,-80.246558,36.1032231,-80.2466599
70,Crisis Control Ministry,200 E 10th St,Winston-Salem,NC,27101,Forsyth,336.724.7875,PANTRY,"M-F 9:00-12:00, 1:00-4:00","200 E 10th St, Winston-Salem, NC, 27101",36.106504,-80.243259,36.1068444,-80.2250537
71,Sunnyside Ministry,319 Haled St,Winston-Salem,NC,27127,Forsyth,336.724.7558,PANTRY,M - Th: 9a - 11a & 1p - 3p; F: 9a - 11a,"319 Haled St, Winston-Salem, NC, 27127",36.0720265,-80.2331674,36.0722005,-80.2327829
72,Senior Services - Meals on Wheels,2895 Shorefair Dr,Winston-Salem,NC,27105,Forsyth,336.725.0907,PANTRY,1st Monday of each month: 8a - 9a,"2895 Shorefair Dr, Winston-Salem, NC, 27105",36.1266262,-80.2507096,36.1282343,-80.2501234
73,The Salvation Army-Kernersville,130 E. Mountain St.,Kernersville,NC,27284,Forsyth,336.993-8844,PANTRY,"M, T, Th: 12:00-1:20","130 E. Mountain St., Kernersville, NC, 27284",36.1195469,-80.0728419,36.1193091,-80.0726126
74,St Peter's World Outreach,3683 Old Lexington Rd,Winston-Salem,NC,27107,Forsyth,336.650.0200,PANTRY,Tu & Th: 9a - 12p; 1st and 3rd Saturday of each month: 9a - 12p,"3683 Old Lexington Rd, Winston-Salem, NC, 27107",36.0495113,-80.224172,36.0497049,-80.2206287
75,Union Baptist Church,406 Northwest Blvd,Winston-Salem,NC,27105,Forsyth,336.724.9305,PANTRY,"1st, 3rd, & 4th Th: 1p - 3p","406 Northwest Blvd, Winston-Salem, NC, 27105",36.1105994,-80.2403935,36.1103509,-80.2485344
76,Catholic Charities,1612 14th st,Winston-Salem,NC,27105,Forsyth,336.727.0705,PANTRY,Th 9:00-11:00 Call ahead for appointment,"1612 14th st, Winston-Salem, NC, 27105",36.1127331,-80.225379,36.1125443,-80.2247446
77,Christ Rescue Temple,1500 N. Dunleith Ave.,Winston-Salem,NC,27105,Forsyth,336.722.9841,PANTRY,3rd&4th Thursday of each month: 12p - 1p,"1500 N. Dunleith Ave., Winston-Salem, NC, 27105",36.113286,-80.227073,36.1134,-80.2272978
78,St. John CME Church,350 NW Crawford Place,Winston-Salem,NC,27105,Forsyth,336.782.4179,PANTRY,4th Tuesday of each month: 11:00 - 3:00; 2nd & 3rd Th of each month: 1p - 3p,"350 NW Crawford Place, Winston-Salem, NC, 27105",36.116829,-80.251021,36.1166209,-80.2517534
79,Holy Trinity,5307 Peters Creek Parkway,Winston-Salem,NC,27127,Forsyth,336.784-9347,PANTRY,1st & 3rd Saturday of each month: 9:30a - 11:00a,"5307 Peters Creek Parkway, Winston-Salem, NC, 27127",36.0338093,-80.2604352,35.9967019,-80.2658894
80,Iglesia Wesleyana el Buen Samaritano,2800 Ludwig St,Winston-Salem,NC,27107,Forsyth,336.785.0860,PANTRY,Wednesday: 1:00-3:00,"2800 Ludwig St, Winston-Salem, NC, 27107",36.0618298,-80.2132882,36.0599202,-80.2123058
81,St Paul United Methodist Church,2400 Dellabrook,Winston-Salem,NC,27105,Forsyth,336.723.4531,PANTRY,W: 1:30p - 3p,"2400 Dellabrook, Winston-Salem, NC, 27105",36.114382,-80.220271,36.1113512,-80.2133408
82,Iglesia Nueva Vida,4423 S Main St,Winston-Salem,NC,27127,Forsyth,336.720.9204,PANTRY,2nd Tuesday of each month: 7:30p - 9p,"4423 S Main St, Winston-Salem, NC, 27127",36.030098,-80.243826,36.0298604,-80.242979
83,The Shalom Project,639 Green St,Winston-Salem,NC,27101,Forsyth,336.721.0606,PANTRY,Tu: 9a - 12:00a,"639 Green St, Winston-Salem, NC, 27101",36.0856527,-80.2498877,36.0852106,-80.2494591
84,Piney Grove Baptist Church,4633 Grove Garden Dr,Winston-Salem,NC,27106,Forsyth,336.725.8995,PANTRY,Tu & Th: 11a - 3p,"4633 Grove Garden Dr, Winston-Salem, NC, 27106",36.1537781,-80.2716833,36.1538335,-80.2710674
85,New Jerusalem Baptist Church,1227 N Dunleith Ave,Winston-Salem,NC,27101,Forsyth,336.723.9743,PANTRY,M: 11a - 2p,"1227 N Dunleith Ave, Winston-Salem, NC, 27101",36.1107727,-80.2265814,36.1103684,-80.2265054
86,Love Community Development,3980 N Liberty St,Winston-Salem,NC,27105,Forsyth,336.306.8119,PANTRY,"M, F: 12 p - 3p","3980 N Liberty St, Winston-Salem, NC, 27105",36.1430895,-80.2277153,36.150538,-80.221188
87,Whole Man Ministries,3916 Old Lexington Rd,Winston-Salem,NC,27107,Forsyth,336.785.2080,PANTRY,Th; beginning at 8:00am. 1st & 3rd Sat 9:00-10:30,"3916 Old Lexington Rd, Winston-Salem, NC, 27107",36.0380314,-80.2175307,36.0380051,-80.2180579
88,Ephesus Seventh Day Adventist,1225 N Cleveland Ave,Winston-Salem,NC,27101,Forsyth,336.724.0491,PANTRY,T & W Begins at 8:00am,"1225 N Cleveland Ave, Winston-Salem, NC, 27101",36.1105058,-80.2305423,36.1107069,-80.2293562
89,Maple Springs United Methodist Church,2569 Reynolda Rd,Winston-Salem,NC,27106,Forsyth,336.722.7563,PANTRY,"Tu 9a - 10:50a & 1p - 3p, W 9a-10:50a","2569 Reynolda Rd, Winston-Salem, NC, 27106",36.1343657,-80.2914123,36.1341404,-80.2903176
90,Centenary United Methodist Church,633 W Fourth 1/2 St.,Winston-Salem,NC,27101,Forsyth,336.724.6311,PANTRY,Tu: 10a - 11:30a,"633 W Fourth 1/2 St., Winston-Salem, NC, 27101",36.088971,-80.258789,36.0981528,-80.2509771
91,St Stephen Missionary Baptist,5000 Noble St,Winston-Salem,NC,27105,Forsyth,336.744.7303,PANTRY,2nd & 4th Th of each month: 12p - 3p,"5000 Noble St, Winston-Salem, NC, 27105",36.143457,-80.209693,36.1437853,-80.2091915
92,"Agape Care & Share, Inc.",3650-G Patterson Ave,Winston-Salem,NC,27105,Forsyth,336.744.4004,PANTRY,Tu & Th: 9a - 12p; W: 4p - 6p,"3650-G Patterson Ave, Winston-Salem, NC, 27105",36.14056,-80.243639,36.1396172,-80.2439909
93,Ardmore United Methodist Church,630 S Hawthorne Rd,Winston-Salem,NC,27103,Forsyth,336.723.3695,PANTRY,1st & 3rd Th: 5:30p - 7:00p,"630 S Hawthorne Rd, Winston-Salem, NC, 27103",36.0842461,-80.2690842,36.0841606,-80.2702226
94,Mt. Moriah - Bread of Life,317 Jefferson St,Kernersville,NC,27284,Forsyth,336.608.6266,PANTRY,3rd Saturday of each month: 11a - 1p,"317 Jefferson St, Kernersville, NC, 27284",36.1204588,-80.0663048,36.120376,-80.0659995
95,Clemmons Food Pantry,2660 Neudorf Road,Clemmons,NC,27012,Forsyth,336.331.3432,PANTRY,Tu: 4p - 6p; Th: 3:30p -7p; Sa: 9a - 11a,"2660 Neudorf Road, Clemmons, NC, 27012",36.0242591,-80.3843882,36.0242526,-80.3844368
96,Morris Chapel UMC,2715 Darrow Road,Walkertown,NC,27051,Forsyth,336.595.8101,PANTRY,Tu & Th: 10a - 11a,"2715 Darrow Road, Walkertown, NC, 27051",36.163608,-80.1459291,36.1635545,-80.1459413
97,Central Triad Church,2935 Cole Rd,Winston-Salem,NC,27107,Forsyth,336.784.0887,PANTRY,4th Saturday: 10a - 2p,"2935 Cole Rd, Winston-Salem, NC, 27107",36.0537567,-80.1694662,36.0543914,-80.1686298
98,H.O.P.E. of Winston-Salem,355 N Crawford Pl,Winston-Salem,NC,27105,Forsyth,336.816.0801,PANTRY,mobile distribution sites; call agency for listing,"355 N Crawford Pl, Winston-Salem, NC, 27105",36.115755,-80.248334,36.1175389,-80.2512553
99,Positive Wellness Alliance,3504 Vest Mill Rd,Winston-Salem,NC,27103,Forsyth,336.722.0976,PANTRY,W: 10a - 1p,"3504 Vest Mill Rd, Winston-Salem, NC, 27103",36.0728932,-80.3053906,36.072832,-80.3061569
100,Beloved Community Food Pantry,3205 S. Main Street,Winston-Salem,NC,27127,Forsyth,336.893.5677,PANTRY,1st & 3rd Thursday of each month: 10a - 12p,"3205 S. Main Street, Winston-Salem, NC, 27127",36.0532817,-80.239591,36.0537166,-80.2391506
101,Neighborhoods Hands Inc,1713 N Liberty Street,Winston-Salem,NC,27105,Forsyth,336.391.0218,PANTRY,M-F 9:00-3:00,"1713 N Liberty Street, Winston-Salem, NC, 27105",36.1153681,-80.2343361,36.1155749,-80.2342008
102,Ministerio Fil 4 13,1526 Bruce St,Winston-Salem,NC,27107,Forsyth,336.486.2309,PANTRY,T starts at 10:00; Th starts at 11:00,"1526 Bruce St, Winston-Salem, NC, 27107",36.0802854,-80.2256666,36.080127,-80.226437
103,Hope Community Church,4660 Brownsboro Rd,Winston-Salem,NC,27106,Forsyth,336.896.0002,PANTRY,S 11a-12p wkly,"4660 Brownsboro Rd, Winston-Salem, NC, 27106",36.148676,-80.2776814,36.1483895,-80.2772721
104,MBL - City Lights Ministry,1600 Williamson St,Winston-Salem,NC,27107,Forsyth,336.831.1003,PANTRY,mobile distribution sites; call agency for listing,"1600 Williamson St, Winston-Salem, NC, 27107",36.0806,-80.222331,36.0803661,-80.2219422
105,New Story Church,1401 Trade Mart Blvd,Winston-Salem,NC,27106,Forsyth,336.575.2275,PANTRY,W: 5:00-6:30,"1401 Trade Mart Blvd, Winston-Salem, NC, 27106",36.059568,-80.262821,36.06011,-80.262936
106,Project RE3 Hope Center,3801 Old Hollow Rd,Kernersville,NC,27284,Forsyth,336.904.3550,PANTRY,wkly Sa 9-11a; wkly W 9-11a & 6:30-8:30p,"3801 Old Hollow Rd, Kernersville, NC, 27284",36.1362188,-80.1200163,36.1575702,-80.1299373
