,GEOID_OLD,County_x,GEOID_x,Urban
51,37193960400,Wilkes,37193960401,0.0
52,37193960400,Wilkes,37193960402,0.0
53,37193960300,Wilkes,37193960300,0.0
54,37193960200,Wilkes,37193960200,0.0
55,37193960100,Wilkes,37193960101,0.0
56,37193960100,Wilkes,37193960102,0.0
57,37191002000,Wayne,37191002000,1.0
58,37191001900,Wayne,37191001900,1.0
59,37191001800,Wayne,37191001800,1.0
60,37191001500,Wayne,37191001500,1.0
61,37191001400,Wayne,37191001401,1.0
62,37191001400,Wayne,37191001402,1.0
63,37191001302,Wayne,37191001302,1.0
64,37191001301,Wayne,37191001301,1.0
65,37191001200,Wayne,37191001200,1.0
66,37191001102,Wayne,37191001102,1.0
67,37191001101,Wayne,37191001103,0.0
68,37191001101,Wayne,37191001104,0.0
69,37191001000,Wayne,37191001000,0.0
70,37191000902,Wayne,37191000902,0.0
71,37191000901,Wayne,37191000901,0.0
72,37191000800,Wayne,37191000800,1.0
73,37191000700,Wayne,37191000700,1.0
74,37191000602,Wayne,37191000604,0.0
75,37191000602,Wayne,37191000603,0.0
76,37191000601,Wayne,37191000601,1.0
77,37191000500,Wayne,37191000500,1.0
78,37191000402,Wayne,37191000402,1.0
79,37191000401,Wayne,37191000401,0.0
80,37191000304,Wayne,37191000304,0.0
81,37191000303,Wayne,37191000303,0.0
82,37191000302,Wayne,37191000302,0.0
83,37191000200,Wayne,37191000200,0.0
84,37191000102,Wayne,37191000102,1.0
85,37191000101,Wayne,37191000104,0.0
86,37191000101,Wayne,37191000103,0.0
87,37189921000,Watauga,37189921000,0.0
88,37189920900,Watauga,37189920900,0.0
89,37189920800,Watauga,37189920800,0.0
90,37189920703,Watauga,37189920703,1.0
91,37189920702,Watauga,37189920702,0.0
92,37189920701,Watauga,37189920701,0.0
93,37189920602,Watauga,37189920602,0.0
94,37189920601,Watauga,37189920601,1.0
95,37189920500,Watauga,37189920500,1.0
96,37189920400,Watauga,37189920400,0.0
97,37189920300,Watauga,37189920300,0.0
98,37189920200,Watauga,37189920200,0.0
99,37189920100,Watauga,37189920100,0.0
100,37187950300,Washington,37187950300,0.0
101,37187950200,Washington,37187950202,0.0
102,37187950200,Washington,37187950201,0.0
103,37187950100,Washington,37187950100,0.0
104,37185950400,Warren,37185950400,0.0
105,37185950300,Warren,37185950300,0.0
106,37185950200,Warren,37185950201,0.0
107,37185950200,Warren,37185950202,0.0
108,37185950103,Warren,37185950103,0.0
109,37185950102,Warren,37185950102,0.0
110,37185950101,Warren,37185950101,0.0
111,37183980200,Wake,37183980200,0.0
112,37183980100,Wake,37183980100,1.0
113,37183054500,Wake,37183054501,1.0
114,37183054500,Wake,37183054502,1.0
115,37183054404,Wake,37183054404,0.0
116,37183054403,Wake,37183054403,0.0
117,37183054402,Wake,37183054402,0.0
118,37183054302,Wake,37183054305,1.0
119,37183054302,Wake,37183054306,1.0
120,37183054301,Wake,37183054303,0.0
121,37183054301,Wake,37183054304,0.0
122,37183054211,Wake,37183054222,1.0
123,37183054211,Wake,37183054221,1.0
124,37183054210,Wake,37183054214,1.0
125,37183054210,Wake,37183054215,1.0
126,37183054210,Wake,37183054216,1.0
127,37183054209,Wake,37183054217,1.0
128,37183054209,Wake,37183054218,1.0
129,37183054208,Wake,37183054220,1.0
130,37183054208,Wake,37183054219,1.0
131,37183054207,Wake,37183054212,1.0
132,37183054207,Wake,37183054213,1.0
133,37183054206,Wake,37183054206,1.0
134,37183054205,Wake,37183054224,1.0
135,37183054205,Wake,37183054223,1.0
136,37183054204,Wake,37183054204,1.0
137,37183054203,Wake,37183054203,1.0
138,37183054115,Wake,37183054115,1.0
139,37183054114,Wake,37183054114,1.0
140,37183054113,Wake,37183054113,0.0
141,37183054112,Wake,37183054112,1.0
142,37183054111,Wake,37183054111,0.0
143,37183054110,Wake,37183054120,1.0
144,37183054110,Wake,37183054121,1.0
145,37183054109,Wake,37183054109,1.0
146,37183054108,Wake,37183054108,1.0
147,37183054106,Wake,37183054106,1.0
148,37183054105,Wake,37183054119,1.0
149,37183054105,Wake,37183054118,1.0
150,37183054104,Wake,37183054117,1.0
151,37183054104,Wake,37183054116,1.0
152,37183054018,Wake,37183054018,1.0
153,37183054017,Wake,37183054017,1.0
154,37183054016,Wake,37183054016,1.0
155,37183054015,Wake,37183054015,1.0
156,37183054014,Wake,37183054023,1.0
157,37183054014,Wake,37183054022,1.0
158,37183054013,Wake,37183054021,1.0
159,37183054013,Wake,37183054020,1.0
160,37183054013,Wake,37183054019,1.0
161,37183054012,Wake,37183054012,1.0
162,37183054011,Wake,37183054011,1.0
163,37183054008,Wake,37183054008,1.0
164,37183054007,Wake,37183054007,1.0
165,37183054006,Wake,37183054006,1.0
166,37183054004,Wake,37183054004,1.0
167,37183054001,Wake,37183054001,1.0
168,37183053900,Wake,37183053902,0.0
169,37183053900,Wake,37183053901,0.0
170,37183053808,Wake,37183053808,1.0
171,37183053807,Wake,37183053807,1.0
172,37183053806,Wake,37183053806,1.0
173,37183053805,Wake,37183053805,0.0
174,37183053804,Wake,37183053804,0.0
175,37183053803,Wake,37183053803,1.0
176,37183053726,Wake,37183053726,1.0
177,37183053725,Wake,37183053725,1.0
178,37183053724,Wake,37183053724,1.0
179,37183053723,Wake,37183053723,1.0
180,37183053722,Wake,37183053722,1.0
181,37183053721,Wake,37183053721,1.0
182,37183053720,Wake,37183053720,1.0
183,37183053719,Wake,37183053719,1.0
184,37183053718,Wake,37183053718,1.0
185,37183053717,Wake,37183053717,1.0
186,37183053716,Wake,37183053716,1.0
187,37183053715,Wake,37183053715,1.0
188,37183053714,Wake,37183053714,1.0
189,37183053713,Wake,37183053713,1.0
190,37183053712,Wake,37183053712,1.0
191,37183053711,Wake,37183053711,1.0
192,37183053709,Wake,37183053728,1.0
193,37183053709,Wake,37183053727,1.0
194,37183053707,Wake,37183053729,1.0
195,37183053707,Wake,37183053730,1.0
196,37183053610,Wake,37183053613,1.0
197,37183053610,Wake,37183053615,1.0
198,37183053610,Wake,37183053614,1.0
199,37183053609,Wake,37183053609,1.0
200,37183053608,Wake,37183053608,1.0
201,37183053607,Wake,37183053612,1.0
202,37183053607,Wake,37183053611,1.0
203,37183053606,Wake,37183053616,1.0
204,37183053604,Wake,37183053604,1.0
205,37183053603,Wake,37183053603,1.0
206,37183053602,Wake,37183053620,1.0
207,37183053602,Wake,37183053619,1.0
208,37183053601,Wake,37183053618,1.0
209,37183053601,Wake,37183053617,1.0
210,37183053525,Wake,37183053525,1.0
211,37183053524,Wake,37183053524,1.0
212,37183053523,Wake,37183053523,1.0
213,37183053522,Wake,37183053522,1.0
214,37183053521,Wake,37183053521,1.0
215,37183053520,Wake,37183053520,1.0
216,37183053519,Wake,37183053519,1.0
217,37183053518,Wake,37183053518,1.0
218,37183053517,Wake,37183053517,1.0
219,37183053516,Wake,37183053516,1.0
220,37183053513,Wake,37183053513,1.0
221,37183053512,Wake,37183053512,1.0
222,37183053509,Wake,37183053509,1.0
223,37183053507,Wake,37183053507,1.0
224,37183053506,Wake,37183053506,1.0
225,37183053505,Wake,37183053505,1.0
226,37183053425,Wake,37183053425,1.0
227,37183053424,Wake,37183053424,1.0
228,37183053423,Wake,37183053423,1.0
229,37183053422,Wake,37183053422,1.0
230,37183053421,Wake,37183053421,1.0
231,37183053420,Wake,37183053432,1.0
232,37183053420,Wake,37183053431,1.0
233,37183053419,Wake,37183053419,1.0
234,37183053418,Wake,37183053436,1.0
235,37183053418,Wake,37183053435,1.0
236,37183053417,Wake,37183053417,1.0
237,37183053416,Wake,37183053429,1.0
238,37183053416,Wake,37183053430,1.0
239,37183053415,Wake,37183053415,1.0
240,37183053414,Wake,37183053433,1.0
241,37183053414,Wake,37183053434,1.0
242,37183053413,Wake,37183053428,0.0
243,37183053412,Wake,37183053426,1.0
244,37183053412,Wake,37183053427,1.0
245,37183053411,Wake,37183053411,1.0
246,37183053410,Wake,37183053410,1.0
247,37183053409,Wake,37183053409,1.0
248,37183053408,Wake,37183053408,1.0
249,37183053405,Wake,37183053405,1.0
250,37183053207,Wake,37183053209,1.0
251,37183053207,Wake,37183053208,1.0
252,37183053206,Wake,37183053206,1.0
253,37183053205,Wake,37183053205,1.0
254,37183053204,Wake,37183053204,1.0
255,37183053203,Wake,37183053203,1.0
256,37183053202,Wake,37183053202,1.0
257,37183053201,Wake,37183053211,1.0
258,37183053201,Wake,37183053210,1.0
259,37183053111,Wake,37183053111,1.0
260,37183053110,Wake,37183053110,1.0
261,37183053109,Wake,37183053109,0.0
262,37183053108,Wake,37183053115,1.0
263,37183053108,Wake,37183053114,1.0
264,37183053107,Wake,37183053113,1.0
265,37183053107,Wake,37183053112,1.0
266,37183053106,Wake,37183053106,1.0
267,37183053105,Wake,37183053105,1.0
268,37183053009,Wake,37183053009,1.0
269,37183053008,Wake,37183053011,0.0
270,37183053008,Wake,37183053010,0.0
271,37183053007,Wake,37183053007,1.0
272,37183053006,Wake,37183053006,1.0
273,37183053005,Wake,37183053005,1.0
274,37183053004,Wake,37183053004,1.0
275,37183053003,Wake,37183053003,1.0
276,37183052904,Wake,37183052905,0.0
277,37183052904,Wake,37183052906,0.0
278,37183052903,Wake,37183052903,1.0
279,37183052902,Wake,37183052902,1.0
280,37183052901,Wake,37183052901,0.0
281,37183052809,Wake,37183052809,1.0
282,37183052808,Wake,37183052812,1.0
283,37183052808,Wake,37183052813,1.0
284,37183052808,Wake,37183052814,1.0
285,37183052807,Wake,37183052807,0.0
286,37183052806,Wake,37183052811,1.0
287,37183052806,Wake,37183052810,1.0
288,37183052803,Wake,37183052815,1.0
289,37183052803,Wake,37183052816,1.0
290,37183052802,Wake,37183052802,1.0
291,37183052801,Wake,37183052801,1.0
292,37183052707,Wake,37183052707,1.0
293,37183052706,Wake,37183052706,1.0
294,37183052705,Wake,37183052705,1.0
295,37183052704,Wake,37183052704,1.0
296,37183052701,Wake,37183052701,1.0
297,37183052603,Wake,37183052603,1.0
298,37183052602,Wake,37183052602,1.0
299,37183052601,Wake,37183052601,1.0
300,37183052507,Wake,37183052507,1.0
301,37183052506,Wake,37183052506,1.0
302,37183052505,Wake,37183052505,1.0
303,37183052504,Wake,37183052504,1.0
304,37183052503,Wake,37183052509,1.0
305,37183052503,Wake,37183052508,1.0
306,37183052409,Wake,37183052409,1.0
307,37183052408,Wake,37183052408,1.0
308,37183052407,Wake,37183052407,1.0
309,37183052406,Wake,37183052411,1.0
310,37183052406,Wake,37183052410,1.0
311,37183052404,Wake,37183052404,1.0
312,37183052401,Wake,37183052401,1.0
313,37183052302,Wake,37183052303,1.0
314,37183052302,Wake,37183052305,1.0
315,37183052302,Wake,37183052304,1.0
316,37183052301,Wake,37183052306,1.0
317,37183052301,Wake,37183052307,1.0
318,37183052102,Wake,37183052102,1.0
319,37183052101,Wake,37183052101,1.0
320,37183052002,Wake,37183052002,1.0
321,37183052001,Wake,37183052001,1.0
322,37183051900,Wake,37183051900,1.0
323,37183051800,Wake,37183051800,1.0
324,37183051700,Wake,37183051700,1.0
325,37183051600,Wake,37183051600,1.0
326,37183051502,Wake,37183051502,1.0
327,37183051501,Wake,37183051501,1.0
328,37183051400,Wake,37183051400,1.0
329,37183051200,Wake,37183051200,1.0
330,37183051102,Wake,37183051102,1.0
331,37183051101,Wake,37183051101,1.0
332,37183051000,Wake,37183051000,1.0
333,37183050900,Wake,37183050900,1.0
334,37183050800,Wake,37183050800,1.0
335,37183050700,Wake,37183050700,1.0
336,37183050600,Wake,37183050600,1.0
337,37183050500,Wake,37183050500,1.0
338,37183050400,Wake,37183050400,1.0
339,37183050300,Wake,37183050300,1.0
340,37183050100,Wake,37183050100,1.0
341,37181961000,Vance,37181961000,0.0
342,37181960900,Vance,37181960903,0.0
343,37181960900,Vance,37181960901,0.0
344,37181960900,Vance,37181960902,0.0
345,37181960800,Vance,37181960800,1.0
346,37181960700,Vance,37181960700,1.0
347,37181960600,Vance,37181960600,1.0
348,37181960500,Vance,37181960500,1.0
349,37181960400,Vance,37181960400,1.0
350,37181960300,Vance,37181960300,0.0
351,37181960200,Vance,37181960200,0.0
352,37181960100,Vance,37181960100,0.0
353,37179021015,Union,37179021015,0.0
354,37179021014,Union,37179021014,1.0
355,37179021013,Union,37179021013,1.0
356,37179021012,Union,37179021012,0.0
357,37179021011,Union,37179021021,1.0
358,37179021011,Union,37179021020,1.0
359,37179021010,Union,37179021019,1.0
360,37179021010,Union,37179021018,1.0
361,37179021009,Union,37179021009,1.0
362,37179021008,Union,37179021016,1.0
363,37179021008,Union,37179021017,1.0
364,37179021007,Union,37179021007,1.0
365,37179021006,Union,37179021006,1.0
366,37179021005,Union,37179021005,0.0
367,37179021004,Union,37179021004,1.0
368,37179020902,Union,37179020902,0.0
369,37179020901,Union,37179020901,0.0
370,37179020800,Union,37179020800,1.0
371,37179020702,Union,37179020702,0.0
372,37179020701,Union,37179020701,1.0
373,37179020602,Union,37179020602,1.0
374,37179020601,Union,37179020601,1.0
375,37179020502,Union,37179020502,1.0
376,37179020501,Union,37179020501,1.0
377,37179020404,Union,37179020405,1.0
378,37179020404,Union,37179020406,1.0
379,37179020403,Union,37179020403,1.0
380,37179020401,Union,37179020401,0.0
381,37179020317,Union,37179020317,1.0
382,37179020316,Union,37179020316,1.0
383,37179020315,Union,37179020315,1.0
384,37179020314,Union,37179020314,1.0
385,37179020313,Union,37179020313,1.0
386,37179020312,Union,37179020312,1.0
387,37179020311,Union,37179020318,1.0
388,37179020311,Union,37179020319,1.0
389,37179020310,Union,37179020310,1.0
390,37179020309,Union,37179020309,1.0
391,37179020308,Union,37179020308,1.0
392,37179020307,Union,37179020307,1.0
393,37179020306,Union,37179020320,1.0
394,37179020306,Union,37179020321,1.0
395,37179020305,Union,37179020305,1.0
396,37179020204,Union,37179020204,0.0
397,37179020203,Union,37179020203,0.0
398,37179020202,Union,37179020206,0.0
399,37179020202,Union,37179020205,0.0
400,37179020100,Union,37179020100,0.0
401,37177960100,Tyrrell,37177960100,0.0
402,37175960600,Transylvania,37175960602,0.0
403,37175960600,Transylvania,37175960601,0.0
404,37175960500,Transylvania,37175960502,0.0
405,37175960500,Transylvania,37175960501,0.0
406,37175960402,Transylvania,37175960403,0.0
407,37175960402,Transylvania,37175960404,0.0
408,37175960401,Transylvania,37175960401,0.0
409,37175960300,Transylvania,37175960301,1.0
410,37175960300,Transylvania,37175960302,1.0
411,37175960200,Transylvania,37175960202,1.0
412,37175960200,Transylvania,37175960201,1.0
413,37175960100,Transylvania,37175960100,0.0
414,37173980200,Swain,37173980200,
415,37173960302,Swain,37173960302,0.0
416,37173960301,Swain,37173960301,0.0
417,37173960200,Swain,37173960200,0.0
418,37173940100,Swain,37173940100,0.0
419,37171931200,Surry,37171931200,0.0
420,37171931103,Surry,37171931103,0.0
421,37171931102,Surry,37171931102,0.0
422,37171931101,Surry,37171931101,0.0
423,37171931003,Surry,37171931003,0.0
424,37171931002,Surry,37171931002,0.0
425,37171931001,Surry,37171931001,0.0
426,37171930902,Surry,37171930902,0.0
427,37171930901,Surry,37171930901,1.0
428,37171930802,Surry,37171930802,0.0
429,37171930801,Surry,37171930804,0.0
430,37171930801,Surry,37171930803,0.0
431,37171930700,Surry,37171930700,0.0
432,37171930600,Surry,37171930600,0.0
433,37171930502,Surry,37171930502,1.0
434,37171930501,Surry,37171930501,1.0
435,37171930400,Surry,37171930400,1.0
436,37171930302,Surry,37171930302,1.0
437,37171930301,Surry,37171930301,1.0
438,37171930202,Surry,37171930202,0.0
439,37171930201,Surry,37171930201,0.0
440,37171930102,Surry,37171930102,0.0
441,37171930101,Surry,37171930101,0.0
442,37169070700,Stokes,37169070701,0.0
443,37169070700,Stokes,37169070702,0.0
444,37169070600,Stokes,37169070600,0.0
445,37169070504,Stokes,37169070504,0.0
446,37169070503,Stokes,37169070503,0.0
447,37169070501,Stokes,37169070506,1.0
448,37169070501,Stokes,37169070505,1.0
449,37169070400,Stokes,37169070400,0.0
450,37169070300,Stokes,37169070302,0.0
451,37169070300,Stokes,37169070301,0.0
452,37169070200,Stokes,37169070200,0.0
453,37169070100,Stokes,37169070102,0.0
454,37169070100,Stokes,37169070101,0.0
455,37167931202,Stanly,37167931202,1.0
456,37167931201,Stanly,37167931204,1.0
457,37167931201,Stanly,37167931203,1.0
458,37167931100,Stanly,37167931101,0.0
459,37167931100,Stanly,37167931102,0.0
460,37167931000,Stanly,37167931002,0.0
461,37167931000,Stanly,37167931001,0.0
462,37167930900,Stanly,37167930901,0.0
463,37167930900,Stanly,37167930902,0.0
464,37167930802,Stanly,37167930802,0.0
465,37167930801,Stanly,37167930801,0.0
466,37167930700,Stanly,37167930700,0.0
467,37167930500,Stanly,37167930500,0.0
468,37167930300,Stanly,37167930300,1.0
469,37167930200,Stanly,37167930200,0.0
470,37167930102,Stanly,37167930102,0.0
471,37167930101,Stanly,37167930101,0.0
472,37165010600,Scotland,37165010601,0.0
473,37165010600,Scotland,37165010602,0.0
474,37165010500,Scotland,37165010501,0.0
475,37165010500,Scotland,37165010502,0.0
476,37165010400,Scotland,37165010400,0.0
477,37165010300,Scotland,37165010300,1.0
478,37165010200,Scotland,37165010200,1.0
479,37165010102,Scotland,37165010102,1.0
480,37165010101,Scotland,37165010101,1.0
481,37163971000,Sampson,37163971001,0.0
482,37163971000,Sampson,37163971002,0.0
483,37163971000,Sampson,37163971003,0.0
484,37163970900,Sampson,37163970900,0.0
485,37163970800,Sampson,37163970801,0.0
486,37163970800,Sampson,37163970802,0.0
487,37163970700,Sampson,37163970701,0.0
488,37163970700,Sampson,37163970702,0.0
489,37163970600,Sampson,37163970600,1.0
490,37163970500,Sampson,37163970501,0.0
491,37163970500,Sampson,37163970502,0.0
492,37163970400,Sampson,37163970402,0.0
493,37163970400,Sampson,37163970401,0.0
494,37163970302,Sampson,37163970302,0.0
495,37163970301,Sampson,37163970303,0.0
496,37163970301,Sampson,37163970304,0.0
497,37163970200,Sampson,37163970202,0.0
498,37163970200,Sampson,37163970201,0.0
499,37163970100,Sampson,37163970101,0.0
500,37163970100,Sampson,37163970102,0.0
501,37161961200,Rutherford,37161961200,0.0
502,37161961102,Rutherford,37161961102,0.0
503,37161961101,Rutherford,37161961103,0.0
504,37161961101,Rutherford,37161961104,0.0
505,37161961000,Rutherford,37161961002,0.0
506,37161961000,Rutherford,37161961001,0.0
507,37161960900,Rutherford,37161960900,0.0
508,37161960800,Rutherford,37161960800,1.0
509,37161960700,Rutherford,37161960700,0.0
510,37161960600,Rutherford,37161960600,1.0
511,37161960500,Rutherford,37161960503,1.0
512,37161960500,Rutherford,37161960502,1.0
513,37161960500,Rutherford,37161960501,1.0
514,37161960400,Rutherford,37161960400,0.0
515,37161960300,Rutherford,37161960302,0.0
516,37161960300,Rutherford,37161960301,0.0
517,37161960200,Rutherford,37161960203,0.0
518,37161960200,Rutherford,37161960201,0.0
519,37161960200,Rutherford,37161960202,0.0
520,37161960100,Rutherford,37161960101,0.0
521,37161960100,Rutherford,37161960103,0.0
522,37161960100,Rutherford,37161960102,0.0
523,37159052000,Rowan,37159052000,1.0
524,37159051902,Rowan,37159051903,0.0
525,37159051902,Rowan,37159051904,0.0
526,37159051901,Rowan,37159051901,0.0
527,37159051802,Rowan,37159051802,0.0
528,37159051801,Rowan,37159051801,0.0
529,37159051700,Rowan,37159051700,1.0
530,37159051600,Rowan,37159051600,1.0
531,37159051502,Rowan,37159051502,1.0
532,37159051501,Rowan,37159051501,1.0
533,37159051400,Rowan,37159051400,0.0
534,37159051303,Rowan,37159051303,0.0
535,37159051302,Rowan,37159051302,0.0
536,37159051301,Rowan,37159051301,0.0
537,37159051204,Rowan,37159051204,1.0
538,37159051202,Rowan,37159051202,0.0
539,37159051201,Rowan,37159051201,0.0
540,37159051102,Rowan,37159051102,0.0
541,37159051101,Rowan,37159051101,0.0
542,37159051002,Rowan,37159051002,1.0
543,37159051001,Rowan,37159051001,1.0
544,37159050904,Rowan,37159050904,0.0
545,37159050903,Rowan,37159050903,0.0
546,37159050901,Rowan,37159050901,0.0
547,37159050800,Rowan,37159050800,1.0
548,37159050700,Rowan,37159050700,1.0
549,37159050500,Rowan,37159050500,1.0
550,37159050400,Rowan,37159050400,1.0
551,37159050300,Rowan,37159050300,1.0
552,37159050202,Rowan,37159050202,1.0
553,37159050201,Rowan,37159050201,1.0
554,37157041602,Rockingham,37157041602,0.0
555,37157041601,Rockingham,37157041601,0.0
556,37157041500,Rockingham,37157041502,1.0
557,37157041500,Rockingham,37157041501,1.0
558,37157041400,Rockingham,37157041400,1.0
559,37157041300,Rockingham,37157041300,0.0
560,37157041200,Rockingham,37157041200,1.0
561,37157041100,Rockingham,37157041100,0.0
562,37157041002,Rockingham,37157041002,0.0
563,37157041001,Rockingham,37157041001,0.0
564,37157040900,Rockingham,37157040900,1.0
565,37157040800,Rockingham,37157040800,1.0
566,37157040700,Rockingham,37157040700,0.0
567,37157040602,Rockingham,37157040602,0.0
568,37157040601,Rockingham,37157040601,0.0
569,37157040502,Rockingham,37157040502,1.0
570,37157040501,Rockingham,37157040501,0.0
571,37157040400,Rockingham,37157040400,1.0
572,37157040300,Rockingham,37157040300,1.0
573,37157040200,Rockingham,37157040200,1.0
574,37157040102,Rockingham,37157040102,0.0
575,37157040101,Rockingham,37157040101,0.0
576,37155962002,Robeson,37155962002,0.0
577,37155962001,Robeson,37155962001,1.0
578,37155961900,Robeson,37155961900,0.0
579,37155961802,Robeson,37155961802,0.0
580,37155961801,Robeson,37155961801,0.0
581,37155961700,Robeson,37155961700,0.0
582,37155961602,Robeson,37155961602,0.0
583,37155961601,Robeson,37155961601,0.0
584,37155961500,Robeson,37155961500,0.0
585,37155961400,Robeson,37155961400,0.0
586,37155961302,Robeson,37155961302,1.0
587,37155961301,Robeson,37155961301,0.0
588,37155961200,Robeson,37155961200,1.0
589,37155961100,Robeson,37155961100,1.0
590,37155961000,Robeson,37155961000,1.0
591,37155960900,Robeson,37155960900,1.0
592,37155960802,Robeson,37155960802,1.0
593,37155960801,Robeson,37155960801,1.0
594,37155960702,Robeson,37155960702,0.0
595,37155960701,Robeson,37155960701,0.0
596,37155960600,Robeson,37155960601,0.0
597,37155960600,Robeson,37155960602,0.0
598,37155960503,Robeson,37155960503,0.0
599,37155960502,Robeson,37155960502,1.0
600,37155960501,Robeson,37155960501,0.0
601,37155960402,Robeson,37155960402,0.0
602,37155960401,Robeson,37155960404,0.0
603,37155960401,Robeson,37155960403,0.0
604,37155960300,Robeson,37155960302,1.0
605,37155960300,Robeson,37155960301,1.0
606,37155960202,Robeson,37155960202,0.0
607,37155960201,Robeson,37155960204,0.0
608,37155960201,Robeson,37155960203,0.0
609,37155960102,Robeson,37155960102,1.0
610,37155960101,Robeson,37155960101,0.0
611,37153971100,Richmond,37153971100,0.0
612,37153971000,Richmond,37153971000,0.0
613,37153970900,Richmond,37153970900,1.0
614,37153970800,Richmond,37153970800,0.0
615,37153970700,Richmond,37153970700,1.0
616,37153970600,Richmond,37153970600,1.0
617,37153970500,Richmond,37153970500,1.0
618,37153970400,Richmond,37153970400,1.0
619,37153970300,Richmond,37153970300,1.0
620,37153970200,Richmond,37153970200,0.0
621,37153970100,Richmond,37153970100,0.0
622,37151031602,Randolph,37151031602,1.0
623,37151031601,Randolph,37151031601,0.0
624,37151031505,Randolph,37151031505,0.0
625,37151031504,Randolph,37151031504,1.0
626,37151031503,Randolph,37151031503,1.0
627,37151031501,Randolph,37151031501,1.0
628,37151031400,Randolph,37151031402,1.0
629,37151031400,Randolph,37151031401,1.0
630,37151031306,Randolph,37151031307,0.0
631,37151031306,Randolph,37151031308,0.0
632,37151031305,Randolph,37151031305,0.0
633,37151031304,Randolph,37151031304,0.0
634,37151031303,Randolph,37151031303,1.0
635,37151031200,Randolph,37151031200,0.0
636,37151031100,Randolph,37151031101,0.0
637,37151031100,Randolph,37151031102,0.0
638,37151031000,Randolph,37151031001,0.0
639,37151031000,Randolph,37151031002,0.0
640,37151030900,Randolph,37151030900,0.0
641,37151030802,Randolph,37151030804,0.0
642,37151030802,Randolph,37151030803,0.0
643,37151030801,Randolph,37151030805,0.0
644,37151030801,Randolph,37151030806,0.0
645,37151030700,Randolph,37151030700,0.0
646,37151030600,Randolph,37151030600,0.0
647,37151030504,Randolph,37151030504,0.0
648,37151030503,Randolph,37151030503,0.0
649,37151030502,Randolph,37151030502,0.0
650,37151030400,Randolph,37151030400,1.0
651,37151030302,Randolph,37151030302,1.0
652,37151030301,Randolph,37151030301,1.0
653,37151030202,Randolph,37151030202,1.0
654,37151030201,Randolph,37151030201,1.0
655,37151030100,Randolph,37151030100,1.0
656,37149920304,Polk,37149920304,1.0
657,37149920303,Polk,37149920303,0.0
658,37149920301,Polk,37149920301,0.0
659,37149920200,Polk,37149920201,0.0
660,37149920200,Polk,37149920202,0.0
661,37149920104,Polk,37149920104,0.0
662,37149920103,Polk,37149920103,0.0
663,37149920101,Polk,37149920101,0.0
664,37147002002,Pitt,37147002002,0.0
665,37147002001,Pitt,37147002004,1.0
666,37147002001,Pitt,37147002003,1.0
667,37147001900,Pitt,37147001900,0.0
668,37147001800,Pitt,37147001800,1.0
669,37147001700,Pitt,37147001700,0.0
670,37147001600,Pitt,37147001602,0.0
671,37147001600,Pitt,37147001601,0.0
672,37147001500,Pitt,37147001500,0.0
673,37147001402,Pitt,37147001402,0.0
674,37147001401,Pitt,37147001404,1.0
675,37147001401,Pitt,37147001403,1.0
676,37147001303,Pitt,37147001304,1.0
677,37147001303,Pitt,37147001305,1.0
